name,classification,thc_percent,cbd_percent,cbg_percent,average_rating,rating_count,effects,medical,flavors,terpenes,lineage,awards,grow_info_yield,grow_info_height,grow_info_difficulty,grow_info_flowering_time_weeks,description,url
805 Glue,Hybrid,21,,,4.6,41,"Uplifted;Talkative;Giggly","Anxiety;Pain;Depression","Grapefruit;Flowery;Woody",Caryophyllene,"Gorilla Glue #4;unknown strain",,medium,medium,moderate,,"805 Glue is a hybrid weed strain made from a genetic cross between Gorilla Glue #4 and an unknown strain. This strain is a creation of Pacific Stone, a brand known for producing affordable and quality cannabis. 805 Glue is 21-22% THC, making this strain an ideal choice for experienced cannabis consumers who can handle a potent high. Leafly customers tell us 805 Glue effects include feeling talkative, uplifted, and giggly. Medical marijuana patients often choose 805 Glue when dealing with symptoms associated with anxiety, pain, and stress. Bred by Pacific Stone, 805 Glue features flavors like grapefruit, flowery, and woody. The dominant terpene of this strain is caryophyllene, which has anti-inflammatory and pain-relieving properties. The average price of 805 Glue typically ranges from $40-$60 per ounce. 805 Glue is a rare and sought-after strain that can provide a smooth and velvety smoking experience. It has dense and frosty buds that are covered with orange hairs and purple hues. The aroma of this strain is sweet and fruity, with hints of cream and candy.",https://www.leafly.com/strains/805-glue
9 lb Hammer,Indica,20,,,4.6,1119,"Sleepy;Relaxed;Euphoric","Pain;Stress;Anxiety","Grape;Lime;Berry",Myrcene,"Gooberry;Hells OG;Jack the Ripper",2014 High Times Cannabis Cup,high,medium,moderate,8,"9lb Hammer, also known as “9 Pound Hammer” and “Nine Pound Hammer”, is an indica weed strain made from a genetic cross between Gooberry, Hells OG, and Jack the Ripper. 9lb Hammer is a potent and fast-flowering strain that won the 2014 High Times Cannabis Cup in Seattle. Bred by JinxProof Genetics, 9lb Hammer delivers a pungent and fruity flavor with a diesel and lime undertone. 9lb Hammer is 20% THC and 1% CBG, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us 9lb Hammer effects include sleepy, relaxed, and euphoric. Medical marijuana patients often choose 9lb Hammer when dealing with symptoms associated with pain, stress, and insomnia. Bred by JinxProof Genetics, 9lb Hammer features flavors like grape, lime, and berry. The dominant terpene of this strain is myrcene. The average price of 9lb Hammer typically ranges from $10-$20 per gram. If you’re looking for a potent and soothing strain that can ease your mind and body, 9lb Hammer might be the perfect choice for you.",https://www.leafly.com/strains/9-pound-hammer
91 Octane,Hybrid,27,,,4.4,9,"Energetic;Euphoric;Talkative","Stress;Anxiety;Insomnia","Berry;Cheese;Chemical","Caryophyllene;Limonene;Myrcene","Biscotti;Scotty2hotty",,medium,medium,moderate,,"91 Octane is a hybrid weed strain made from a genetic cross between Biscotti and Scotty2hotty. This strain is 60% sativa and 40% indica. 91 Octane is known for its high THC content, averaging around 25-28%, making this strain an ideal choice for experienced cannabis consumers. Bred by Exotic Genetix, 91 Octane features myrcene as the dominant terpene.",https://www.leafly.com/strains/91-octane
A-10,Indica,11,,,3,164,"Creative;Euphoric;Sleepy","Pain;Stress;Anxiety","Earthy;Hashy;Strawberry;Grape;Lemon","Myrcene;Pinene;Caryophyllene",Afghani,,high,medium,moderate,7,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",https://www.leafly.com/strains/a-10
A-Train,Hybrid,16,,,4,89,"Aroused;Giggly;Happy","Stress;Anxiety;Depression","Ammonia;Earthy;Flowery","Caryophyllene;Terpinolene;Limonene","Mazar I Sharif;Trainwreck",,medium,medium,moderate,,"A-Train is a hybrid cross between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck. This hybrid gives you the classic stoned feeling, imbuing the mind and body with warm euphoria. Be ready for smiles and munchies when you jump on the A-Train.",https://www.leafly.com/strains/a-train
Acapulco Gold,Sativa,18,1,,4.5,832,"Creative;Energetic;Uplifted","Stress;Depression;Anxiety","Honey;Chestnut;Coffee","Caryophyllene;Myrcene;Limonene","Mexican;Skunk 1;Apple Pie",,medium,medium,moderate,,"Acapulco Gold is a rare sativa marijuana strain. As one of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. This strain produces effects that are motivating and energizing. This strain comes from the area in and around Acapulco, Mexico, and its orange hairs resemble a gold nugget, with gold, green, and brown colors and plenty of resin on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and it's becoming more difficult to find.",https://www.leafly.com/strains/acapulco-gold
ACDC,Hybrid,1,13,,4.5,834,"Relaxed;Focused;Uplifted","Pain;Anxiety;Stress","Woody;Earthy;Pine","Myrcene;Pinene;Caryophyllene",Cannatonic,,medium,medium,easy,8,"ACDC is a CBD-dominant marijuana strain made from a phenotype of Cannatonic. This strain produces little to no intoxicating effects. Medical marijuana patients choose ACDC to help treat various ailments like pain, anxiety, epilepsy and the negative effects of chemotherapy.",https://www.leafly.com/strains/acdc
ACDC Cake,Hybrid,,,,,0,,,,,,,,,,,,https://www.leafly.com/strains/acdc-cake
ACDC Cookies,Hybrid,14,11,,4.2,11,"Energetic;Focused;Relaxed","Anxiety;Depression;Stress","Tar;Diesel;Chemical","Myrcene;Ocimene;Limonene;Caryophyllene",,,Medium,,Moderate,,ACDC Cookies is a hybrid marijuana strain. We're still learning about the flavors and effects of ACDC Cookies.,https://www.leafly.com/strains/acdc-cookies
ACDC Diesel,Hybrid,1,20,,4.5,150,"Relaxed;Happy;Euphoric","Stress relief;Pain relief;Anxiety","Sweet;Earthy;Fruity","Caryophyllene;Pinene;Myrcene;Ocimene;Humulene;Limonene;Linalool;Terpinolene","ACDC;Diesel",,Medium,Medium,Moderate,8,"ACDC Diesel is a hybrid strain known for its high CBD content and low THC levels, making it ideal for medical users seeking relief without the psychoactive effects.",https://www.leafly.com/strains/acdc-diesel
ACDC Dream,Hybrid,,,,,0,,,,,,,,,,,,https://www.leafly.com/strains/acdc-dream
ACDC Gelato,Hybrid,,,,,0,,,,,"ACDC;Gelato",,,,,,,https://www.leafly.com/strains/acdc-gelato
ACDC Glue,Hybrid,20,0.5,0.1,4.5,100,"Relaxed;Happy;Euphoric","Stress relief;Pain relief;Anxiety","Earthy;Sweet;Pine","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","ACDC;Gorilla Glue #4",,Medium,Medium,Moderate,8,"ACDC Glue is a hybrid strain known for its balanced effects and sweet, earthy flavors.",https://www.leafly.com/strains/acdc-glue
ACDC Haze,Hybrid,1,20,,4.5,150,"Relaxed;Happy;Euphoric","Stress relief;Pain relief;Anxiety relief","Sweet;Earthy;Fruity","Caryophyllene;Pinene;Myrcene;Ocimene;Humulene;Limonene;Linalool;Terpinolene","ACDC;Haze",,Medium,Medium,Moderate,8,"ACDC Haze is a hybrid strain known for its high CBD content and low THC levels, making it ideal for medical users seeking relief without the psychoactive effects.",https://www.leafly.com/strains/acdc-haze
ACDC Kush,Hybrid,,,,,0,,,,,ACDC,,,,,,,https://www.leafly.com/strains/acdc-kush
ACDC OG,Hybrid,,,,,0,,,,,ACDC,,,,,,,https://www.leafly.com/strains/acdc-og
ACDC Punch,Hybrid,,,,,0,,,,,ACDC,,,,,,,https://www.leafly.com/strains/acdc-punch
Ace Killer OG,Indica,,,,4.8,53,"Sleepy;Relaxed;Euphoric","Stress;Pain;Insomnia","Diesel;Pine;Earthy",,"White Fire OG;King’s Kush;Kosher Kush;mystery strain",,,,null,,"Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",https://www.leafly.com/strains/ace-killer-og
Acid Dough,Sativa,23,1,,4.6,35,"Energetic;Uplifted;Creative","Stress;Depression;Fatigue","Pineapple;Strawberry;Earthy","Myrcene;Caryophyllene;Limonene","Lilly (Queen Mother x Congo);OG Badazz","2nd Place Best Sativa at the 2017 Spannabis Champions Cups;2nd Place at the 2016 Expogrow Cup",high,medium,moderate,9,"Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield.",https://www.leafly.com/strains/acid-dough
Afghan Cake,Hybrid,22,0.1,0.5,4.5,120,"Relaxed;Happy;Euphoric","Stress;Pain;Insomnia","Sweet;Earthy;Vanilla","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Cake",,Medium,Medium,Moderate,8,Afghan Cake is a hybrid strain known for its sweet vanilla flavor and relaxing effects.,https://www.leafly.com/strains/afghan-cake
Afghan Cookies,Hybrid,22,0.1,0.5,4.5,150,"Relaxed;Happy;Euphoric;Uplifted","Stress;Pain;Insomnia;Depression","Earthy;Sweet;Spicy;Herbal","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Girl Scout Cookies",,Medium,Medium,Moderate,8,"Afghan Cookies is a hybrid strain that combines the classic Afghan with the popular Girl Scout Cookies, resulting in a balanced high that is both relaxing and euphoric.",https://www.leafly.com/strains/afghan-cookies
Afghan Diesel,Hybrid,20,0.5,0.1,4.5,120,"Relaxed;Happy;Euphoric","Stress;Pain;Insomnia","Earthy;Diesel;Sweet","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Diesel",,Medium,Medium,Moderate,8,"Afghan Diesel is a hybrid strain known for its earthy and diesel flavors, providing a relaxing and euphoric experience.",https://www.leafly.com/strains/afghan-diesel
Afghan Dream,Indica,20,0.5,0.1,4.5,120,"Relaxed;Happy;Sleepy","Stress relief;Pain relief;Insomnia","Earthy;Sweet;Fruity","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Blue Dream",,Medium,Medium,Moderate,8,"Afghan Dream is a potent indica strain that combines the relaxing effects of Afghan with the sweet, fruity notes of Blue Dream.",https://www.leafly.com/strains/afghan-dream
Afghan Gelato,Hybrid,,,,,0,"Relaxed;Happy","Stress relief;Pain","Sweet;Fruity","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Gelato",,Medium,,Moderate,,,https://www.leafly.com/strains/afghan-gelato
Afghan Glue,Hybrid,25,0.1,0.5,4.5,150,"Relaxed;Happy;Euphoric","Stress;Pain;Insomnia","Earthy;Pine;Sweet","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene","Afghan;Gorilla Glue",,High,Medium,Moderate,8,"Afghan Glue is a potent hybrid strain known for its relaxing effects and sweet, earthy flavors.",https://www.leafly.com/strains/afghan-glue
Afghan Haze,Hybrid,,,,,0,"Relaxed;Happy","Stress relief;Pain","Earthy;Sweet","Myrcene;Caryophyllene;Limonene;Pinene;Humulene;Terpinolene;Ocimene;Linalool","Afghan;Haze",,Medium,Medium,Moderate,,,https://www.leafly.com/strains/afghan-haze
Afghan Kush,Indica,20,1,0.5,4.5,200,"Relaxed;Happy;Sleepy","Stress relief;Pain relief;Insomnia","Earthy;Sweet;Spicy","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene",Afghan,,Medium,Short,Moderate,8,"Afghan Kush is a pure indica strain that originates from the Hindu Kush mountain range. It is known for its heavy resin production and earthy, sweet flavors.",https://www.leafly.com/strains/afghan-kush
Afghan OG,Indica,20,0.1,0.2,4.5,120,"Relaxed;Happy;Sleepy","Stress relief;Pain relief;Insomnia","Earthy;Sweet;Pine","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene",Afghan,,Medium,Short,Moderate,8,Afghan OG is a classic indica strain known for its relaxing effects and earthy flavors.,https://www.leafly.com/strains/afghan-og
Afghan Punch,Indica,,,,,0,"Relaxed;Happy","Stress relief;Pain","Earthy;Sweet","Myrcene;Pinene;Ocimene;Humulene;Limonene;Linalool;Terpinolene;Caryophyllene",Afghan,,Medium,Medium,Moderate,8,,https://www.leafly.com/strains/afghan-punch
Afghan Skunk,Indica,17,,,4.3,69,"Sleepy;Relaxed;Hungry","Stress;Anxiety;Insomnia","Skunk;Woody;Menthol","Myrcene;Pinene;Caryophyllene","Skunk 1;Afghani",,high,medium,easy,8,"This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the “classics.” Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. Tests have shown THC levels of about 17%, so the stink isn’t the only thing that’s potent about Afghan Skunk.",https://www.leafly.com/strains/afghan-skunk
Afghani,Indica,18,,,4.3,714,"Sleepy;Relaxed;Hungry","Stress;Insomnia;Pain","Sweet;Earthy;Woody;Pine","Terpinolene;Myrcene;Pinene","Northern Lights;Amnesia Haze",,high,medium,easy,,"Afghani, also known as ""Afghan"" and ""Afghanistan,"" is a potent indica marijuana strain. This strain delivers a deep state of relaxation and euphoria. The flavors Afghani produces are sweet and earthy. Medical marijuana patients most commonly turn to this strain to treat insomnia, pain, and stress disorders. Afghani is named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure this strain for its heavy resin production which is passed on genetically.",https://www.leafly.com/strains/afghani
Afghani CBD,Indica,,,,4.6,51,"Sleepy;Relaxed;Happy","Stress;Pain;Inflammation","Flowery;Spicy/Herbal;Grape",,Afghani,,medium,medium,easy,,"Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin, Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",https://www.leafly.com/strains/afghani-cbd
Afgoo,Indica,18,,,4,659,"Sleepy;Relaxed;Hungry","Stress;Insomnia;Pain","Woody;Pine;Earthy","Myrcene;Ocimene;Pinene","Afghani;Maui Haze",,medium,medium,moderate,7,"Afgoo, also known as ""Afgooey"" and ""Afghan Goo,"" is a potent indica-dominant marijuana strain that is believed to descend from Afghani and Maui Haze. This strain may provide some uplifting creativity in smaller doses, but is generally reported to be relaxing and sleepy. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",https://www.leafly.com/strains/afgoo
African,Sativa,,,,3.8,51,"Energetic;Hungry;Creative","Lack of appetite;Fatigue;Depression","Tobacco;Pepper;Spicy/Herbal",,"Durban Poison;Power Plant",,medium,medium,moderate,,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.",https://www.leafly.com/strains/african
Agape,Sativa,,,,4.2,5,"Energetic;Creative;Uplifted","Cramps;Depression;Eye pressure","Blueberry;Grape;Berry",,"Shasta Grape;Black Cherry",,medium,medium,moderate,,"Bred by Justin at Trinity Sacred Rootz, Agape is a cross between Shasta Grape and Black Cherry. A sativa-dominant hybrid, Agape is the perfect strain for an adventure in the sun. Its buds carry purple hues throughout, and its grape and tropical fruit flavors draw you in further before finally imbuing the mind with inspiring euphoria.",https://www.leafly.com/strains/agape
Agent Orange,Hybrid,17,,,4.1,1202,"Uplifted;Happy;Focused","Stress;Anxiety;Depression","Orange;Citrus;Sweet","Myrcene;Terpinolene;Caryophyllene","Jack the Ripper;Orange Velvet",,medium,medium,moderate,7,"Agent Orange is a well-balanced hybrid marijuana strain with uplifting and motivating effects. Agent Orange has an aroma of fresh-cut citrus and is an excellent mood enhancer if you are feeling lethargic or depressed. This strain can be made by combining Orange Velvet with the bold Jack the Ripper. Bred by MzJill Genetics, Agent Orange buds have pigments of both deep maroon and purple.",https://www.leafly.com/strains/agent-orange
AK-47,Hybrid,19,,,4.1,3021,"Hungry;Happy;Talkative","Stress;Anxiety;Pain","Skunk;Tobacco;Earthy","Myrcene;Pinene;Caryophyllene","Colombian;Mexican;Thai;Afghani",,medium,medium,easy,8,"AK-47, also known as ""AK,"" is a sativa-dominant hybrid marijuana strain that mixes Colombian, Mexican, Thai, and Afghani varieties. Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. The result is a complex blend of flavors and effects. AK-47 may deliver a steady and long-lasting cerebral buzz that will keep you mentally alert and engaged in creative or social activities. While its scent is sour and earthy, its sweet, floral notes can only be fully realized in the taste.",https://www.leafly.com/strains/ak-47
Alaska,Sativa,,,,4.5,98,"Energetic;Focused;Talkative","Stress;Anxiety;Depression","Woody;Mint;Earthy",,Tikun Olam,,null,null,null,,"Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders.",https://www.leafly.com/strains/alaska
Alaskan Purple,Hybrid,,,,4.3,17,"Aroused;Sleepy;Focused","Anxiety;Stress;Arthritis","Berry;Chemical;Blueberry",,,,medium,medium,moderate,,"Alaskan Purple, also known as Purple Alaskan, is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel aroused, sleepy, and focused.",https://www.leafly.com/strains/alaskan-purple
Alaskan Thunder Fuck,Hybrid,16,,,4.4,2196,"Energetic;Uplifted;Euphoric","Stress;Depression;Anxiety","Menthol;Sage;Pine","Myrcene;Caryophyllene;Limonene","Northern California Sativa;Russian Ruderalis;Afghani",,medium,medium,moderate,8,"Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa marijuana strain originating in the Matanuska Valley area of Alaska. According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier (and also making it a hybrid). Alaskan Thunder Fuck usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk. Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement.",https://www.leafly.com/strains/alaskan-thunder-fuck
Alice in Wonderland,Sativa,16,,,4.5,112,"Focused;Creative;Euphoric","Stress;Depression;Anxiety","Flowery;Earthy;Grapefruit","Myrcene;Caryophyllene;Terpinolene",Willy's Wonder,,medium,medium,moderate,,"Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects. It provides an elevated sensory experience, making it a favorite strain for creative pastimes, outdoor activities, a laid-back weekend, or daytime stress relief. Said to be a descendant of Willy’s Wonder, Alice in Wonderland has many therapeutic qualities, especially for those suffering from anxiety or depression.",https://www.leafly.com/strains/alice-in-wonderland
Alien Asshat,Hybrid,22,,,4.8,46,"Giggly;Uplifted;Euphoric","Stress;Depression;Anxiety","Citrus;Pungent;Blueberry","Myrcene;Caryophyllene;Pinene",,,medium,medium,moderate,,"Alien Asshat is a hybrid cannabis strain grown by Sky High Gardens in Washington. With a staggeringly high THC content, Alien Asshat launches you into the cosmos with a powerful euphoric blast. Its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. If you’re new to cannabis, be sure to start small with this heavy-hitter.",https://www.leafly.com/strains/alien-asshat
Alien Bubba,Indica,,,,4.7,104,"Relaxed;Sleepy;Tingly","Stress;Anxiety;Pain","Tea;Earthy;Flowery",,"Bubba Kush;Alien Kush",,medium,medium,moderate,,"Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader, Alien Kush. This two-fold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative. Its bouquet is earthy and floral, and when combusted, Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale. Enjoy this heady heavy-hitter close to the end of the day to maximize its sedative effects.",https://www.leafly.com/strains/alien-bubba
Alien Cookies,Hybrid,25,,,4.6,101,"Aroused;Relaxed;Hungry","Anxiety;Stress;Depression","Vanilla;Tea;Pepper","Limonene;Caryophyllene;Myrcene","GSC;Aliendawg",,medium,medium,moderate,,"Jaws Gear Genetics gave us Alien Cookies by crossing GSC with Aliendawg. It is said to have pungent earthy and vanilla flavors coming from dark colored buds that are drenched in trichomes. It is hard to find, so if you get your hands on Alien Cookies, make sure to savor every moment.",https://www.leafly.com/strains/alien-cookies
Alien Gorilla,Hybrid,28,,,4.8,4,"Energetic;Creative;Happy","Depression;Anxiety;Muscle spasms","Diesel;Pine;Earthy",,"Gorilla Runtz;Alien Technology",,medium,medium,moderate,,"Alien Gorilla is a hybrid weed strain made from a genetic cross between Gorilla Runtz and Alien Technology. This strain is 30% sativa and 70% indica. Alien Gorilla is 28% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by unknown breeders, the average price of Alien Gorilla typically ranges from $10-$15 per gram. We are still learning about Alien Gorilla’s effects, flavors, and medical uses.",https://www.leafly.com/strains/alien-gorilla
Alien Kush,Indica,21,,,4.2,156,"Tingly;Relaxed;Euphoric","Stress;Pain;Anxiety","Tea;Flowery;Woody","Myrcene;Caryophyllene;Limonene","LVPK;Alien Dawg",,average,medium,easy,,"Alien Kush is a potent cross of LVPK and Alien Dawg that originally hails from California, not deep space. It may have you feeling a little spacey, though, as this strain touches down in the brain first, giving active, sometimes-psychedelic effects. The active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain. Alien Kush plants have average yields, but they are hardy, easy-to-grow plants, indoors or out. The light green buds have a covering of red or orange hairs and should be airy. This strain has a piney smell, but the taste is a subtle spiciness that is reminiscent of tea.",https://www.leafly.com/strains/alien-kush
