awards,aliases,effects,flavors,medical,terpenes,grow_info,description,strain_name,rating_count,cbd_percentage,cbg_percentage,rating_average,thc_percentage,lineage_parents,strain_classification,url,name,lineage,cbd_percent,thc_percent,average_rating,classification
"[]",,"[""Relaxed"",""Happy"",""Uplifted""]","[""Pine"",""Sage"",""Earthy""]","[""Stress"",""Depression"",""Anxiety""]","[""Caryophyllene"",""Limonene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","3 Kings, also known as ""Three Kings,"" is a sativa-dominant hybrid marijuana strain. Three Kings is a holy trinity of Headband, Sour Diesel, and OG Kush. This genetic masterpiece features an aroma of sour tanginess that reek from sage green buds. The frosty coat of 3 Kings gives you a fair warning of this strains' legendary potency. Medical patients will appreciate the versatility of this 3 Kings medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,359,,,,,,,"https://www.leafly.com/strains/3-kings","3 Kings","[""Headband"",""Sour Diesel"",""OG Kush""]",0,19,4.4,"Hybrid"
"[]",,"[""Relaxed"",""Sleepy"",""Happy""]","[""Woody"",""Earthy"",""Pungent""]","[""Stress"",""Pain"",""Depression""]","[""Limonene"",""Myrcene"",""Linalool""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",,81,,,,,,,"https://www.leafly.com/strains/303-og","303 Kush","[""Pre-98 Bubba Kush"",""Chemdawg""]",0,20,4.2,"Indica"
"[]",,"[""Relaxed"",""Sleepy"",""Euphoric""]","[""Pine"",""Earthy"",""Pungent""]","[""Stress"",""Pain"",""Insomnia""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",,131,,,,,,,"https://www.leafly.com/strains/501st-og","501st OG","[""Skywalker OG"",""Rare Dankness #1""]",,21,4.6,"Hybrid"
"[]",,"[""Creative"",""Uplifted"",""Focused""]","[""Skunk"",""Pungent"",""Earthy""]","[""Stress"",""Pain"",""Anxiety""]","[""Myrcene"",""Terpinolene"",""Ocimene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. This strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most consumers feeling calm and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",,438,,,,,,,"https://www.leafly.com/strains/707-headband","707 Headband","[""Sour Diesel"",""OG Kush"",""Master Kush""]",,20,4.3,"Hybrid"
"[]",,"[""uplifted"",""talkative"",""giggly""]","[""grapefruit"",""flowery"",""woody""]","[""anxiety"",""pain"",""depression""]","[""caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","805 Glue is a hybrid weed strain made from a genetic cross between Gorilla Glue #4 and an unknown strain. This strain is a creation of Pacific Stone, a brand known for producing affordable and quality cannabis. 805 Glue is 21-22% THC, making this strain an ideal choice for experienced cannabis consumers who can handle a potent high. Leafly customers tell us 805 Glue effects include feeling talkative, uplifted, and giggly. Medical marijuana patients often choose 805 Glue when dealing with symptoms associated with anxiety, pain, and stress. Bred by Pacific Stone, 805 Glue features flavors like grapefruit, flowery, and woody. The dominant terpene of this strain is caryophyllene, which has anti-inflammatory and pain-relieving properties. The average price of 805 Glue typically ranges from $40-$60 per ounce. 805 Glue is a rare and sought-after strain that can provide a smooth and velvety smoking experience. It has dense and frosty buds that are covered with orange hairs and purple hues. The aroma of this strain is sweet and fruity, with hints of cream and candy.",,41,,,,,,,"https://www.leafly.com/strains/805-glue","805 Glue","[""Gorilla Glue #4"",""unknown strain""]",,21,4.6,"Hybrid"
"[""2014 High Times Cannabis Cup""]",,"[""sleepy"",""relaxed"",""euphoric""]","[""grape"",""lime"",""berry""]","[""pain"",""stress"",""anxiety""]","[""myrcene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":8}","9lb Hammer, also known as “9 Pound Hammer” and “Nine Pound Hammer”, is an indica weed strain made from a genetic cross between Gooberry, Hells OG, and Jack the Ripper. 9lb Hammer is a potent and fast-flowering strain that won the 2014 High Times Cannabis Cup in Seattle. Bred by JinxProof Genetics, 9lb Hammer delivers a pungent and fruity flavor with a diesel and lime undertone. 9lb Hammer is 20% THC and 1% CBG, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us 9lb Hammer effects include sleepy, relaxed, and euphoric. Medical marijuana patients often choose 9lb Hammer when dealing with symptoms associated with pain, stress, and insomnia. Bred by JinxProof Genetics, 9lb Hammer features flavors like grape, lime, and berry. The dominant terpene of this strain is myrcene. The average price of 9lb Hammer typically ranges from $10-$20 per gram. If you’re looking for a potent and soothing strain that can ease your mind and body, 9lb Hammer might be the perfect choice for you.",,1119,,,,,,,"https://www.leafly.com/strains/9-pound-hammer","9 lb Hammer","[""Gooberry"",""Hells OG"",""Jack the Ripper""]",,20,4.6,"Indica"
"[]",,"[""Energetic"",""Euphoric"",""Talkative""]","[""Berry"",""Cheese"",""Chemical""]","[""Stress"",""Anxiety"",""Insomnia""]","[""Caryophyllene"",""Limonene"",""Myrcene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","91 Octane is a hybrid weed strain made from a genetic cross between Biscotti and Scotty2hotty. This strain is 60% sativa and 40% indica. 91 Octane is known for its high THC content, averaging around 25-28%, making this strain an ideal choice for experienced cannabis consumers. Bred by Exotic Genetix, 91 Octane features myrcene as the dominant terpene.",,9,,,,,,,"https://www.leafly.com/strains/91-octane","91 Octane","[""Biscotti"",""Scotty2hotty""]",,27,4.4,"Hybrid"
"[]",,"[""Creative"",""Euphoric"",""Sleepy""]","[""Earthy"",""Hashy"",""Strawberry"",""Grape"",""Lemon""]","[""Pain"",""Stress"",""Anxiety""]","[""Myrcene"",""Pinene"",""Caryophyllene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":7}","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",,164,,,,,,,"https://www.leafly.com/strains/a-10","A-10","[""Afghani""]",0,11,3,"Indica"
"[]",,"[""Aroused"",""Giggly"",""Happy""]","[""Ammonia"",""Earthy"",""Flowery""]","[""Stress"",""Anxiety"",""Depression""]","[""Caryophyllene"",""Terpinolene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","A-Train is a hybrid cross between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck. This hybrid gives you the classic stoned feeling, imbuing the mind and body with warm euphoria. Be ready for smiles and munchies when you jump on the A-Train.",,89,,,,,,,"https://www.leafly.com/strains/a-train","A-Train","[""Mazar I Sharif"",""Trainwreck""]",,16,4,"Hybrid"
"[]",,"[""Creative"",""Energetic"",""Uplifted""]","[""Honey"",""Chestnut"",""Coffee""]","[""Stress"",""Depression"",""Anxiety""]","[""Caryophyllene"",""Myrcene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","Acapulco Gold is a rare sativa marijuana strain. As one of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. This strain produces effects that are motivating and energizing. This strain comes from the area in and around Acapulco, Mexico, and its orange hairs resemble a gold nugget, with gold, green, and brown colors and plenty of resin on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and it's becoming more difficult to find.",,832,,,,,,,"https://www.leafly.com/strains/acapulco-gold","Acapulco Gold","[""Mexican"",""Skunk 1"",""Apple Pie""]",1,18,4.5,"Sativa"
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","ACDC Cake",0,,,,,"","Hybrid",,,,,,,
"","","Energetic, Focused, Relaxed","Tar, Diesel, Chemical","Anxiety, Depression, Stress","{""pinene"":"""",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":"""",""limonene"":""Present"",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":null,""difficulty"":""Moderate"",""flowering_weeks"":null}","ACDC Cookies is a hybrid marijuana strain. We're still learning about the flavors and effects of ACDC Cookies.","ACDC Cookies",11,11,,4.2,14,"","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy,fruity","stress relief,pain relief,anxiety","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Dominant""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","ACDC Diesel is a hybrid strain known for its high CBD content and low THC levels, making it ideal for medical users seeking relief without the psychoactive effects.","ACDC Diesel",150,20,,4.5,1,"ACDC x Diesel","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","ACDC Dream",0,,,,,"","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":null}","","ACDC Gelato",,,,,,"ACDC x Gelato","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","earthy,sweet,pine","stress relief,pain relief,anxiety","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","ACDC Glue is a hybrid strain known for its balanced effects and sweet, earthy flavors.","ACDC Glue",100,0.5,0.1,4.5,20,"ACDC x Gorilla Glue #4","Hybrid",,,,,,,
"","","relaxed,happy,euphoric","sweet,earthy,fruity","stress relief,pain relief,anxiety relief","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Dominant""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","ACDC Haze is a hybrid strain known for its high CBD content and low THC levels, making it ideal for medical users seeking relief without the psychoactive effects.","ACDC Haze",150,20,,4.5,1,"ACDC x Haze","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":null}","","ACDC Kush",,,,,,"ACDC","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","ACDC OG",0,,,,,"ACDC","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":null}","","ACDC Punch",0,,,,,"ACDC","Hybrid",,,,,,,
"[]",,"[""Relaxed"",""Focused"",""Uplifted""]","[""Woody"",""Earthy"",""Pine""]","[""Pain"",""Anxiety"",""Stress""]","[""Myrcene"",""Pinene"",""Caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""easy"",""flowering_time_weeks"":8}","ACDC is a CBD-dominant marijuana strain made from a phenotype of Cannatonic. This strain produces little to no intoxicating effects. Medical marijuana patients choose ACDC to help treat various ailments like pain, anxiety, epilepsy and the negative effects of chemotherapy.",,834,,,,,,,"https://www.leafly.com/strains/acdc","ACDC","[""Cannatonic""]",13,1,4.5,"Hybrid"
"[]",,"[""Sleepy"",""Relaxed"",""Euphoric""]","[""Diesel"",""Pine"",""Earthy""]","[""Stress"",""Pain"",""Insomnia""]","[]","{""yield"":"""",""height"":"""",""difficulty"":""null"",""flowering_time_weeks"":null}","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",,53,,,,,,,"https://www.leafly.com/strains/ace-killer-og","Ace Killer OG","[""White Fire OG"",""King’s Kush"",""Kosher Kush"",""mystery strain""]",,,4.8,"Indica"
"[""2nd Place Best Sativa at the 2017 Spannabis Champions Cups"",""2nd Place at the 2016 Expogrow Cup""]",,"[""Energetic"",""Uplifted"",""Creative""]","[""Pineapple"",""Strawberry"",""Earthy""]","[""Stress"",""Depression"",""Fatigue""]","[""Myrcene"",""Caryophyllene"",""Limonene""]","{""yield"":""high"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":9}","Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield.",,35,,,,,,,"https://www.leafly.com/strains/acid-dough","Acid Dough","[""Lilly (Queen Mother x Congo)"",""OG Badazz""]",1,23,4.6,"Sativa"
"","","Relaxed, Happy, Euphoric","Sweet, Earthy, Vanilla","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Cake is a hybrid strain known for its sweet vanilla flavor and relaxing effects.","Afghan Cake",120,0.1,0.5,4.5,22,"Afghan x Cake","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric, Uplifted","Earthy, Sweet, Spicy, Herbal","Stress, Pain, Insomnia, Depression","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Cookies is a hybrid strain that combines the classic Afghan with the popular Girl Scout Cookies, resulting in a balanced high that is both relaxing and euphoric.","Afghan Cookies",150,0.1,0.5,4.5,22,"Afghan x Girl Scout Cookies","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric","Earthy, Diesel, Sweet","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Diesel is a hybrid strain known for its earthy and diesel flavors, providing a relaxing and euphoric experience.","Afghan Diesel",120,0.5,0.1,4.5,20,"Afghan x Diesel","Hybrid",,,,,,,
"","","relaxed,happy,sleepy","earthy,sweet,fruity","stress relief,pain relief,insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Dream is a potent indica strain that combines the relaxing effects of Afghan with the sweet, fruity notes of Blue Dream.","Afghan Dream",120,0.5,0.1,4.5,20,"Afghan x Blue Dream","Indica",,,,,,,
"","","relaxed,happy","sweet,fruity","stress relief,pain","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":null,""difficulty"":""Moderate"",""flowering_weeks"":null}","","Afghan Gelato",0,,,,,"Afghan x Gelato","Hybrid",,,,,,,
"","","Relaxed, Happy, Euphoric","Earthy, Pine, Sweet","Stress, Pain, Insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""High"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Glue is a potent hybrid strain known for its relaxing effects and sweet, earthy flavors.","Afghan Glue",150,0.1,0.5,4.5,25,"Afghan, Gorilla Glue","Hybrid",,,,,,,
"","","relaxed,happy","earthy,sweet","stress relief,pain","{""myrcene"":""Dominant"",""caryophyllene"":""Present"",""limonene"":""Present"",""pinene"":""Present"",""humulene"":""Present"",""terpinolene"":""Present"",""ocimene"":""Present"",""linalool"":""Present""}","{""difficulty"":""Moderate"",""flowering_weeks"":null,""yield"":""Medium"",""height"":""Medium""}","","Afghan Haze",0,,,,,"Afghan, Haze","Hybrid",,,,,,,
"","","relaxed,happy,sleepy","earthy,sweet,spicy","stress relief,pain relief,insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Short"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan Kush is a pure indica strain that originates from the Hindu Kush mountain range. It is known for its heavy resin production and earthy, sweet flavors.","Afghan Kush",200,1,0.5,4.5,20,"Afghan","Indica",,,,,,,
"","","relaxed,happy,sleepy","earthy,sweet,pine","stress relief,pain relief,insomnia","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Short"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Afghan OG is a classic indica strain known for its relaxing effects and earthy flavors.","Afghan OG",120,0.1,0.2,4.5,20,"Afghan","Indica",,,,,,,
"","","relaxed,happy","earthy,sweet","stress relief,pain","{""pinene"":""Present"",""myrcene"":""Dominant"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","","Afghan Punch",,,,,,"Afghan","Indica",,,,,,,
